0,1,164
0,2,181
0,3,187
1,0,164
1,2,149
2,0,181
2,1,149
2,5,100
3,0,187
3,4,212
4,3,212
4,5,268
4,7,110
5,2,100
5,4,268
5,6,100
6,5,100
6,9,100
7,4,110
7,8,114
8,7,144
8,11,122
9,6,100
9,16,531
9,10,281
10,9,100
10,11,151
10,14,293
11,8,122
11,10,151
11,12,66
11,13,148
12,11,66
12,13,127
13,11,148
13,12,127
13,15,195
14,10,293
14,16,478
15,13,195
15,17,217
15,18,210
16,9,100
16,14,478
16,19,445
16,27,421
17,15,217
17,18,204
17,20,136
18,15,210
18,17,204
18,19,165
18,20,110
18,22,128
19,16,445
19,18,165
19,23,86
20,17,136
20,18,110
20,21,113
21,20,113
21,22,89
21,24,128
22,18,128
22,21,113
22,23,182
22,25,153
23,19,86
23,22,182
23,26,296
24,21,128
24,25,141
25,22,153
25,24,141
25,26,280
26,23,296
26,25,280
26,28,180
27,16,421
27,28,262
28,27,262
28,26,180
